AXX 40.4145 95.813  
BYT 36.5809 104.130 
CHM 39.8805 96.775  
CXT 33.7312 105.7613
DBT 34.0601 103.2304
DHT 40.0276 94.8117 
GLT 37.3784 103.095 
GTA 39.4 99.8167    
HCH 36.2504 108.461 
HJT 37.8314 102.011 
HNT 35.6911 105.070 
HXP 38.3907 102.110 
HXT 36.5896 107.271 
HYS 38.4007 102.831 
HZT 35.01 102.912   
JFS 39.3907 98.7412 
JNT 35.5309 105.7713
JTA 37.1903 104.0902
JYG 39.8114 98.2104 
LQT 34.5379 102.652 
LTT 34.6711 103.3606
LXA 35.6275 103.263 
LYT 41.0901 95.5008 
LZH 36.0833 103.8444
MIQ 39.07 103.2504  
MQT 34.02 102.0601  
MXT 34.4307 104.02  
NXT 35.5609 107.9215
PLT 35.4508 106.6811
QTS 39.7003 97.7412 
SDT 38.7713 101.333 
SGS 37.5356 103.8845
SGT 37.621 102.7613 
SNT 38.8414 99.611  
TSS 34.3425 106.0206
WDT 33.3426 104.9136
WSH 34.6611 105.05  
WXT 32.9516 104.6811
WYT 35.04 104.1     
YDT 36.8013 103.3205
YJZ 40.3907 98.6411 
YWX 41.0906 96.9015 
ZHC 34.9316 106.3005
ZHQ 33.8114 104.3806
ZHY 39.0915 100.5309
